ID,Text,Region,Context,Surface_Meaning,Intended_Meaning,Intent_Type,Emotion,Emotion_Intensity,Sarcasm,Sarcasm_Intensity,Polarity_Surface,Polarity_Intent,Relation,Customer_Service,Complaint,Escalation_Risk,Explanation,Source
LUB2-V2-0201,أبي أعرف كم المبلغ المتبقي على القرض بالضبط,الوسطى,يستفسر العميل عن رصيد التزامه المالي قبل اتخاذ قرار بالسداد المبكر,استفسار,استفسار حقيقي,استفسار,حياد,1,لا,0,محايد,محايد,مرتبط,نعم,لا,منخفض,سؤال مالي بسيط بلا شحنة عاطفية يمثل التفاعل الطبيعي مع الجهة,V2_500
LUB2-V2-0202,يعطيكم العافية، سددت مبكر وخصمتوا الرسوم زي ما ينص النظام,الشرقية,سدد العميل التزامه مبكرًا وطبقت الجهة الخصم النظامي بدون مماطلة,شكر,شكر حقيقي,شكر,رضا,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,الالتزام بالنظام دون مماطلة سلوك محدد يجعل الشكر مبنيًا على واقعة,V2_500
LUB2-V2-0203,يعطيكم العافية، حسبتوا لي رسوم تأخير وأنا سددت قبل بيوم,الشمالية,احتُسبت رسوم تأخير على العميل رغم سداده قبل موعد الاستحقاق بيوم,شكر,احتجاج ساخر على خصم خاطئ,سخرية,استياء,4,نعم,4,إيجابي,سلبي,غير مرتبط,نعم,نعم,مرتفع,صيغة الشكر مقلوبة وتستخدم لإبراز خطأ مالي واضح في الحساب,V2_500
LUB2-V2-0204,البطاقة توقفت وأنا مسافر برى وما أقدر أدفع شي,الجنوبية,أوقف النظام بطاقة العميل لاشتباه أمني وهو خارج البلاد بدون بديل,وصف للوضع,شكوى عاجلة مع طلب حل فوري,شكوى,قلق,5,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,مرتفع,الموقف حرج لأن العميل خارج البلاد بلا وسيلة دفع مما يستدعي تدخلًا عاجلًا,V2_500
LUB2-V2-0205,أوقفوا عملية مشبوهة قبل ما تتم واتصلوا يتأكدون مني,الحجازية,رصد النظام محاولة شراء غير معتادة وأوقفها واتصل بالعميل للتحقق,إبلاغ,مدح حقيقي لنظام الحماية,مدح,امتنان,5,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,منع ضرر مالي فعلي يفسر الدرجة المرتفعة من الامتنان في التقييم,V2_500
LUB2-V2-0206,تمام، بانتظار نتيجة الاعتراض,الوسطى,قدم العميل اعتراضًا على عملية وأُبلغ بمدة دراسة واضحة وواقعية,إقرار,قبول محايد,قبول,حياد,1,لا,0,محايد,محايد,مرتبط,نعم,لا,منخفض,رد إجرائي محايد يمثل التفاعلات العادية الخالية من الشحنة العاطفية,V2_500
LUB2-V2-0207,تمام، بانتظار نتيجة الاعتراض الثالث على نفس العملية,الشرقية,رُفض اعتراض العميل مرتين دون تبرير وأعاد تقديمه للمرة الثالثة,إقرار,تهكم على تكرار الرفض,سخرية,إحباط,4,نعم,3,محايد,سلبي,غير مرتبط,نعم,نعم,مرتفع,إضافة الترتيب الثالث تكشف تهكمًا على عقم الإجراء وتراكم الإحباط,V2_500
LUB2-V2-0208,التطبيق يطلب تحديث بيانات وأنا حدثتها من شهرين,الشمالية,يتلقى العميل إشعارات متكررة لتحديث بيانات سبق أن حدثها وأكدها,إبلاغ,شكوى تقنية مع انزعاج خفيف,شكوى,انزعاج,2,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,منخفض,بلاغ تقني منخفض الحدة يمثل الشكاوى الروتينية غير الحادة,V2_500
LUB2-V2-0209,حولت لرقم غلط وساعدوني أسترجع المبلغ خلال يومين,الجنوبية,أخطأ العميل في رقم الحساب وتدخلت الجهة لاسترجاع المبلغ بسرعة,إبلاغ,شكر حقيقي,شكر,امتنان,5,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,المساعدة في خطأ من طرف العميل نفسه تفسر ارتفاع درجة الامتنان,V2_500
LUB2-V2-0210,حولت لرقم غلط وقالوا لي هذي مسؤوليتك وما فينا حيلة,الحجازية,طلب العميل المساعدة في استرجاع تحويل خاطئ فرُفض طلبه بشكل قاطع,إبلاغ,شكوى من رفض المساعدة,شكوى,خيبة أمل,4,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,مرتفع,الرفض القاطع بلا محاولة يجعل الشكوى تتعلق بأسلوب التعامل لا بالنتيجة فقط,V2_500
LUB2-V2-0211,ما شاء الله على التطوير، شلتوا الفرع الوحيد في المحافظة,الوسطى,أغلقت الجهة آخر فرع في منطقة يسكنها كبار سن يعتمدون على الخدمة الحضورية,مدح للتطوير,انتقاد ساخر لقرار الإغلاق,سخرية,استياء,4,نعم,4,إيجابي,سلبي,غير مرتبط,نعم,نعم,مرتفع,وصف الإغلاق بالتطوير مفارقة تكشف اعتراضًا على قرار يضر بفئة محددة,V2_500
LUB2-V2-0212,فتحوا فرع جديد قريب مني ووفر علي مشوار أربعين دقيقة,الشرقية,افتتحت الجهة فرعًا في حي العميل بعد أن كان يقطع مسافة طويلة,إبلاغ إيجابي,رضا حقيقي,رضا,فرح,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,الفائدة محددة وقابلة للقياس مما يجعل الرضا مبنيًا على أثر واقعي,V2_500
LUB2-V2-0213,أنا ما أبي أعتمد على التطبيق بس ما فيه بديل,الشمالية,أُلغيت الخدمة الهاتفية واضطر العميل كبير السن لاستخدام التطبيق رغم صعوبته عليه,توضيح,اعتراض على إلغاء الخيارات,شكوى,قلق,3,لا,0,محايد,سلبي,مرتبط,نعم,نعم,متوسط,الاعتراض يتعلق بانعدام البدائل وليس رفضًا للتقنية بحد ذاتها,V2_500
LUB2-V2-0214,شرحوا لي كيف أستخدم التطبيق خطوة خطوة في الفرع,الجنوبية,جلس موظف مع عميل كبير في السن وعلمه استخدام التطبيق بصبر,مدح,شكر حقيقي,شكر,امتنان,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,الجهد الإنساني الموصوف يجعل الشكر مرتبطًا بسلوك محدد وملموس,V2_500
LUB2-V2-0215,الرسوم الجديدة ما كانت واضحة في العقد الأصلي,الحجازية,اكتشف العميل رسومًا شهرية أُضيفت لاحقًا ولم تكن ضمن ما وقع عليه,اعتراض,شكوى من غموض الشروط,شكوى,استياء,4,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,مرتفع,الاعتراض يمس شفافية التعاقد وهو موضوع حساس يرفع احتمال التصعيد,V2_500
LUB2-V2-0216,أبشر، بحدث بياناتي في الفرع خلال الأسبوع,الوسطى,طُلب من العميل تحديث بياناته في الفرع فوافق وحدد وقتًا مناسبًا له,التزام,قبول حقيقي,قبول,حياد,1,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,التزام إجرائي عادي يمثل التفاعل الطبيعي بلا أي معنى ضمني,V2_500
LUB2-V2-0217,أبشر، بروح الفرع للمرة الرابعة عشان نفس الورقة,الشرقية,طُلب من العميل زيارة الفرع أربع مرات لنفس المستند بسبب تغير المتطلبات,التزام,تهكم على تكرار الإجراء,سخرية,نفاد صبر,4,نعم,4,إيجابي,سلبي,غير مرتبط,نعم,نعم,مرتفع,ذكر تكرار الزيارات يقلب الالتزام الظاهر إلى احتجاج ساخر على سوء الإجراءات,V2_500
LUB2-V2-0218,أشكر الموظفة، خلصت معاملتي قبل ما يقفل الفرع بخمس دقايق,الشمالية,بقيت الموظفة بعد وقت الإغلاق لإنهاء معاملة عميلة جاءت متأخرة,شكر,شكر حقيقي,شكر,امتنان,5,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,تجاوز وقت العمل لخدمة العميلة واقعة محددة تفسر عمق الامتنان,V2_500
LUB2-V2-0219,أبي أقفل الحساب وأنقل تعاملاتي لجهة ثانية,الجنوبية,قرر العميل إنهاء علاقته بعد تراكم مشاكل لم تُحل خلال ستة أشهر,إعلان قرار,تصعيد نهائي بعد استياء متراكم,عدم رضا,إحباط,5,لا,0,محايد,سلبي,مرتبط,نعم,نعم,مرتفع,القرار النهائي بإنهاء العلاقة أعلى درجات التصعيد السلوكي من العميل,V2_500
LUB2-V2-0220,فكرت أقفل الحساب بس تعاملكم معي غير رأيي,الحجازية,كان العميل عازمًا على المغادرة فتواصل معه فريق العناية وحل مشكلته بالكامل,إبلاغ,مدح حقيقي بعد نية سلبية,مدح,رضا,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,تغير القرار بعد المعالجة دليل قوي على صدق التقييم الإيجابي,V2_500
LUB2-V2-0221,أنا أرسلت المستند ثلاث مرات والنظام يقول ناقص,الوسطى,رفع العميل نفس المستند ثلاث مرات ويظهر الطلب كغير مكتمل في كل مرة,وصف للوضع,شكوى من خلل تقني,شكوى,إحباط,4,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,متوسط,السرد الوقائعي لتكرار المحاولة يجعل الشكوى محددة وقابلة للتحقق,V2_500
LUB2-V2-0222,النظام قبل المستند من أول مرة وجاني إشعار بالاكتمال,الشرقية,رفع العميل مستندًا وتمت معالجته فورًا مع إشعار تأكيد واضح,إبلاغ,رضا حقيقي,رضا,ارتياح,3,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,سلاسة الإجراء الموصوفة تجعل الجملة تقييمًا إيجابيًا مباشرًا وواقعيًا,V2_500
LUB2-V2-0223,طبعًا الحل هو أروح الفرع، ليش عندنا تطبيق أصلًا,الشمالية,فشل العميل في إنجاز إجراء عبر التطبيق وأُحيل للفرع رغم أن الخدمة معلنة رقميًا,تعليق,انتقاد ساخر لعدم اكتمال الخدمة الرقمية,سخرية,استياء,4,نعم,4,محايد,سلبي,غير مرتبط,نعم,نعم,متوسط,السؤال الإنكاري في الشطر الثاني يكشف احتجاجًا على فجوة بين الوعد والتنفيذ,V2_500
LUB2-V2-0224,كل خدماتي أنجزتها من التطبيق وما احتجت أروح الفرع,الجنوبية,أنجز العميل تحديث بياناته وإصدار بطاقة وتحويلاته رقميًا بالكامل,إبلاغ إيجابي,رضا حقيقي,رضا,رضا,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,اكتمال الخدمة رقميًا واقعة محددة تدعم الرضا وتقابل الحالة الساخرة السابقة,V2_500
LUB2-V2-0225,أنا مو مقتنع بالرد، بس ما عندي خيار غير أقبله,الحجازية,أُبلغ العميل برفض اعتراضه بتبرير يراه ضعيفًا ولا يملك وسيلة أخرى للمتابعة,قبول,رفض داخلي مع استسلام,عدم رضا,إحباط,4,لا,0,محايد,سلبي,مرتبط جزئيًا,نعم,نعم,مرتفع,القبول المعلن لا يعكس اقتناعًا بل عجزًا عن المتابعة وهو استياء صريح,V2_500
LUB2-V2-0226,أنا مقتنع بالرد وشكرًا على التفاصيل اللي أرسلتوها,الوسطى,أرسلت الجهة للعميل كشفًا مفصلًا يوضح سبب الخصم فاقتنع به,قبول,قبول حقيقي عن اقتناع,قبول,ارتياح,3,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,التفاصيل المقدمة هي سبب الاقتناع مما يجعل القبول حقيقيًا لا شكليًا,V2_500
LUB2-V2-0227,المتجر باع لي منتج مقلد بسعر الأصلي,الشرقية,اشترى العميل جهازًا وتبين لاحقًا أنه غير أصلي بعد فحصه لدى الوكيل,اتهام,شكوى خطيرة مع مطالبة,شكوى,غضب,5,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,مرتفع,الاتهام يتعلق بغش تجاري موثق مما يجعل التصعيد شبه مؤكد,V2_500
LUB2-V2-0228,المتجر استرجع المنتج المقلد وعوضني بالأصلي فورًا,الشمالية,اكتشف المتجر خطأ في شحنة مورد واستبدل منتجات العملاء على حسابه,إبلاغ,مدح حقيقي للمعالجة,مدح,رضا,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,المعالجة السريعة والمسؤولة تحول تجربة سلبية إلى تقييم إيجابي صادق,V2_500
LUB2-V2-0229,السعر في الرف غير السعر في الكاشير,الجنوبية,وجد العميل فرقًا بين السعر المعلن على الرف والمبلغ المحسوب عند الدفع,إبلاغ,شكوى مباشرة,شكوى,انزعاج,3,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,متوسط,بلاغ وقائعي محدد يمثل الشكاوى المباشرة الشائعة في قطاع التجزئة,V2_500
LUB2-V2-0230,الكاشير طبق السعر المعلن على الرف بدون نقاش,الحجازية,اكتشف الكاشير فرقًا في السعر وطبق الأقل احترامًا للسعر المعروض,مدح,مدح حقيقي,مدح,تقدير,3,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,السلوك المهني المذكور يجعل الثناء مرتبطًا بموقف محدد لا بانطباع عام,V2_500
LUB2-V2-0231,خصم خمسين بالمئة على منتجات أسعارها ارتفعت ستين بالمئة,الوسطى,رفع المتجر أسعاره قبل موسم التخفيضات ثم أعلن خصومات كبيرة,وصف للعرض,كشف ساخر لخداع التسعير,سخرية,استياء,4,نعم,4,محايد,سلبي,غير مرتبط,نعم,نعم,متوسط,المقارنة الرقمية تكشف المفارقة وتحول الوصف إلى اتهام ساخر بالتضليل,V2_500
LUB2-V2-0232,العرض كان حقيقي والأسعار فعلًا أقل من قبل الموسم,الشرقية,قارن العميل الأسعار قبل وأثناء العرض ووجد التخفيض حقيقيًا,تعليق,تقدير حقيقي للشفافية,مدح,رضا,3,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,التحقق الفعلي من الأسعار يجعل التقييم الإيجابي مبنيًا على مقارنة موضوعية,V2_500
LUB2-V2-0233,أبي أسترجع المنتج وعندي الفاتورة والتغليف كامل,الشمالية,يريد العميل استرجاع منتج خلال المدة النظامية مع استيفاء كل الشروط,طلب,طلب إجرائي محايد,طلب,حياد,1,لا,0,محايد,محايد,مرتبط,نعم,لا,منخفض,طلب نظامي مستوفٍ للشروط بلا شحنة عاطفية أو اعتراض,V2_500
LUB2-V2-0234,سياسة الاسترجاع أربعة عشر يوم، وأنا جيت في اليوم الثالث ورفضوا,الجنوبية,رُفض طلب استرجاع العميل رغم التزامه بالمدة المعلنة في سياسة المتجر,اعتراض,شكوى مع استشهاد بالسياسة,شكوى,غضب,4,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,مرتفع,الاستشهاد بالسياسة المعلنة يعطي الشكوى قوة ويجعل التصعيد مرجحًا,V2_500
LUB2-V2-0235,الاسترجاع تم في ثلاث دقايق والمبلغ رجع في نفس اللحظة,الحجازية,أنهى المتجر عملية استرجاع العميل بسرعة وأعاد المبلغ فورًا لبطاقته,إبلاغ,رضا حقيقي,رضا,فرح,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,السرعة الملموسة في الإجراء هي سبب الرضا مما يجعل التقييم موضوعيًا,V2_500
LUB2-V2-0236,أنا ما أبي أطول، بس الموضوع فيه مبلغ وأنا محتاجه,الوسطى,ينتظر العميل استرجاع مبلغ منذ ثلاثة أسابيع وهو في ضائقة مالية,تلطف,طلب عاجل مع ضغط مالي,طلب,قلق,4,لا,0,محايد,سلبي,مرتبط جزئيًا,نعم,نعم,متوسط,الصياغة المهذبة تخفض النبرة لكن الحاجة المالية ترفع الشحنة العاطفية,V2_500
LUB2-V2-0237,أقترح توضحون الرسوم في صفحة مستقلة قبل التأكيد,الشرقية,فوجئ العميل برسوم عند إتمام العملية واقترح تحسينًا في تجربة المستخدم,اقتراح,اقتراح بنّاء,اقتراح,حياد,2,لا,0,محايد,إيجابي,مرتبط,نعم,لا,منخفض,الاقتراح ناتج عن تجربة مزعجة لكنه مصاغ بلغة تحسينية لا احتجاجية,V2_500
LUB2-V2-0238,الله يعينكم، الزحمة في الفرع من الصبح وأنتم موظفين اثنين بس,الشمالية,يرى العميل ضغطًا كبيرًا على موظفين اثنين في فرع مزدحم منذ الصباح,دعاء,انتقاد لنقص الكوادر مع تعاطف,شكوى,تعاطف,3,لا,0,محايد,سلبي,مرتبط جزئيًا,نعم,نعم,منخفض,التعاطف مع الموظفين حقيقي والنقد موجه للإدارة لا للأشخاص,V2_500
LUB2-V2-0239,الله يعينكم وما تقصرون، خلصتوا الطابور بسرعة رغم الزحمة,الجنوبية,أدار الفرع ازدحامًا كبيرًا بكفاءة وانتهى الطابور بسرعة غير متوقعة,دعاء ومدح,مدح حقيقي,مدح,تقدير,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,السياق يوضح أداءً جيدًا فعلًا فالدعاء والمدح متطابقان مع الواقع,V2_500
LUB2-V2-0240,صار لي أسبوع أحاول أفعل المحفظة الرقمية وما تقبل بياناتي,الحجازية,يحاول المستخدم تفعيل محفظة إلكترونية وتُرفض بياناته بلا سبب واضح,وصف للوضع,شكوى تقنية,شكوى,نفاد صبر,3,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,متوسط,بلاغ وقائعي عن تعذر التفعيل مع إشارة لطول المدة دون أي تهكم,V2_500
LUB2-V2-0241,فعلت المحفظة في دقيقتين وربطتها بالبطاقة بدون مشاكل,الوسطى,أنهى المستخدم عملية التفعيل والربط بسرعة وبواجهة واضحة,إبلاغ,رضا حقيقي,رضا,رضا,3,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,التجربة السلسة الموصوفة تجعل التقييم إيجابيًا ومباشرًا بلا مبالغة,V2_500
LUB2-V2-0242,خصموا المبلغ مرتين والعملية وحدة,الشرقية,تكرر خصم مبلغ شراء واحد مرتين من حساب العميل في نفس الدقيقة,إبلاغ,شكوى مالية مباشرة,شكوى,انزعاج,4,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,مرتفع,خطأ مالي واضح وقابل للإثبات يجعل الشكوى وجيهة ويستدعي معالجة عاجلة,V2_500
LUB2-V2-0243,اكتشفوا الخصم المزدوج قبل ما ألاحظه ورجعوا المبلغ,الشمالية,رصد النظام خصمًا مكررًا وأعاده تلقائيًا مع إشعار للعميل,إبلاغ,مدح حقيقي للمبادرة,مدح,تقدير,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,المبادرة الاستباقية بالتصحيح سلوك مؤسسي متقدم يبرر التقدير الصادق,V2_500
LUB2-V2-0244,أنا ما أشتكي من الخطأ، أشتكي إني اكتشفته بنفسي بعد شهر,الجنوبية,اكتشف العميل خطأ قديمًا في حسابه لم ترصده الجهة ولم تبلغه به,توضيح,شكوى محددة عن غياب الرقابة,شكوى,استياء,4,لا,0,محايد,سلبي,مرتبط,نعم,نعم,متوسط,التمييز الدقيق بين الخطأ وعدم اكتشافه يوجه الشكوى نحو ضعف آليات المراجعة,V2_500
LUB2-V2-0245,أول مرة أشوف جهة ترسل لي ملخص شهري مفهوم بدون مصطلحات معقدة,الحجازية,أرسلت الجهة كشفًا مبسطًا للعميل يوضح مصاريفه بلغة واضحة,اندهاش,مدح حقيقي,مدح,رضا,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,البساطة في العرض ميزة محددة يذكرها العميل مما يجعل الثناء مبنيًا على أثر واقعي,V2_500
LUB2-V2-0246,أول مرة أشوف كشف حساب يحتاج مترجم,الوسطى,أرسلت الجهة للعميل كشفًا مليئًا بالرموز والمصطلحات غير المفهومة,اندهاش,انتقاد ساخر لغموض الكشف,سخرية,انزعاج,3,نعم,4,محايد,سلبي,غير مرتبط,نعم,نعم,منخفض,المبالغة في وصف الحاجة لمترجم أسلوب تهكمي يبرز غموض المستند,V2_500
LUB2-V2-0247,أبي أعرف ليش رفضتوا تحديث رقم جوالي وأنا في الفرع بهويتي,الشرقية,رُفض تحديث بيانات العميل رغم حضوره شخصيًا بوثائقه الرسمية,استفسار,اعتراض على إجراء غير مفهوم,شكوى,ارتباك,3,لا,0,محايد,سلبي,مرتبط,نعم,نعم,متوسط,السؤال يحمل اعتراضًا مبنيًا على تناقض بين الإجراء المتبع والوضع الفعلي,V2_500
LUB2-V2-0248,حدثوا رقمي في دقيقة بعد التحقق من الهوية,الشمالية,أنجز الموظف تحديث بيانات العميل بسرعة بعد إجراءات التحقق المعتادة,إبلاغ,رضا حقيقي,رضا,ارتياح,3,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,كفاءة الإجراء المذكورة تجعل التقييم إيجابيًا وتقابل الحالة السابقة,V2_500
LUB2-V2-0249,بصراحة تعبت من كثر ما أعيد نفس الشكوى لكل موظف جديد,الجنوبية,تنقلت شكوى العميل بين خمسة موظفين وكل واحد يبدأ من الصفر,تعبير عن التعب,شكوى من انقطاع السياق,شكوى,إحباط,5,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,مرتفع,التصريح بالتعب مع وصف التكرار يجعل الإحباط في أعلى مستوياته,V2_500
LUB2-V2-0250,الموظف الجديد كان مطلع على كل تفاصيل شكواي من غير ما أعيد,الحجازية,قرأ الموظف سجل الحالة كاملًا قبل التواصل مع العميل واستكمل من حيث توقف السابق,مدح,مدح حقيقي,مدح,ارتياح,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,الاستعداد المسبق للموظف سلوك محدد يفسر التقييم الإيجابي ويقابل الحالة السابقة,V2_500
LUB2-V2-0251,خذوا وقتكم في دراسة الطلب، أنا قدمته قبل ثلاثة أشهر,الوسطى,طلب من العميل مزيد من الوقت لدراسة طلب قدمه منذ ثلاثة أشهر,منح مهلة,تهكم على طول المدة,سخرية,نفاد صبر,4,نعم,4,محايد,سلبي,غير مرتبط,نعم,نعم,مرتفع,منح المهلة الظاهر يناقضه ذكر المدة المنقضية فيتحول لاحتجاج ساخر,V2_500
LUB2-V2-0252,خذوا وقتكم، الطلب مو مستعجل وأنا قدمته للسنة الجاية,الشرقية,قدم العميل طلبًا مبكرًا لخدمة يحتاجها بعد أشهر وأبلغ الجهة بمرونته,منح مهلة,مرونة حقيقية,تهدئة,حياد,1,لا,0,محايد,إيجابي,مرتبط,نعم,لا,منخفض,السياق يوضح أن الطلب غير عاجل فعلًا فالمهلة الممنوحة صادقة,V2_500
LUB2-V2-0253,أنا مسؤول عن الخطأ، حولت بدون ما أتأكد من الرقم,الشمالية,أقر العميل بأن خطأ التحويل كان بسببه ولم يحمّل الجهة المسؤولية,إقرار,اعتراف حقيقي بالمسؤولية,تبرير,ارتباك,3,لا,0,سلبي,إيجابي,غير مرتبط,نعم,لا,منخفض,الجملة سلبية ظاهريًا لأنها لوم للذات لكن مقصدها موقف ناضج ومنصف,V2_500
LUB2-V2-0254,أكيد الغلط مني لأني وثقت في الإشعار اللي أرسلتوه,الجنوبية,اعتمد العميل على إشعار رسمي من الجهة تبين لاحقًا أنه خاطئ وحُمّل نتيجته,إقرار,رفض ساخر لتحميله المسؤولية,سخرية,غضب,4,نعم,5,محايد,سلبي,غير مرتبط,نعم,نعم,مرتفع,إقرار الخطأ مقلوب تمامًا لأن المتحدث يحتج على تحميله نتيجة خطأ الجهة,V2_500
LUB2-V2-0255,أشكر فريق العناية، تابعوا معي كل يومين لين ما انتهت القضية,الحجازية,تابعت الجهة مع العميل باستمرار حتى إغلاق شكواه بشكل مرضٍ,شكر,شكر حقيقي,شكر,امتنان,5,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,انتظام المتابعة المذكور يعطي الشكر مصداقية ويربطه بسلوك موثق,V2_500
LUB2-V2-0256,رفعت شكوى للجهة الرقابية بعد ما ما لقيت حل عندكم,الوسطى,صعّد العميل شكواه رسميًا بعد أربعين يومًا من المتابعة دون نتيجة,إبلاغ بالتصعيد,تصعيد رسمي فعلي,تحذير,غضب,5,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,مرتفع,الجملة إبلاغ بتصعيد وقع فعلًا وليست تهديدًا مما يجعلها أعلى درجات الخطورة,V2_500
LUB2-V2-0257,أنا مو ضد الرسوم، أنا ضد إني أعرف عنها بعد الخصم,الشرقية,خُصمت رسوم من حساب العميل دون إشعار مسبق رغم وجود بند يجيزها,توضيح,اعتراض محدد على آلية الإشعار,شكوى,استياء,3,لا,0,محايد,سلبي,مرتبط,نعم,نعم,متوسط,الاعتراض دقيق ويستهدف التوقيت لا المبدأ وهو تمييز مهم في تحليل الشكاوى,V2_500
LUB2-V2-0258,وصلني إشعار قبل الخصم بثلاثة أيام وشرح واضح للسبب,الشمالية,أرسلت الجهة إشعارًا مسبقًا يوضح الرسوم وسببها قبل تطبيقها,إبلاغ إيجابي,رضا حقيقي عن الشفافية,رضا,ارتياح,3,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,الإشعار المسبق يعالج بالضبط ما اشتكت منه الحالة السابقة فيصبح التقييم إيجابيًا,V2_500
LUB2-V2-0259,ممكن تعطوني رقم مرجعي للشكوى عشان أتابعها,الجنوبية,يطلب العميل رقم متابعة لشكواه لتنظيم تواصله مع الجهة,طلب,طلب إجرائي محايد,طلب,حياد,1,لا,0,محايد,محايد,مرتبط,نعم,لا,منخفض,طلب تنظيمي بسيط ومعقول لا يحمل شكوى أو شحنة عاطفية,V2_500
LUB2-V2-0260,الحمد لله انتهت القضية ورجع لي حقي كامل,الحجازية,أُغلقت شكوى العميل بإعادة كامل المبلغ المتنازع عليه بعد المراجعة,حمد وارتياح,رضا حقيقي,رضا,ارتياح,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,النتيجة النهائية المرضية تجعل الحمد تعبيرًا صادقًا عن ارتياح فعلي,V2_500
LUB2-V2-0261,ما شاء الله على التواصل، عرفت بغياب ابني من جاره,الوسطى,تغيب الطالب يومين ولم تبلغ المدرسة ولي أمره وعلم بالصدفة من جار الأسرة,مدح للتواصل,انتقاد ساخر لغياب الإبلاغ,سخرية,غضب,4,نعم,4,إيجابي,سلبي,غير مرتبط,نعم,نعم,مرتفع,المدح الظاهر للتواصل يناقضه وصف الواقعة مما يجعله اتهامًا بالتقصير,V2_500
LUB2-V2-0262,وصلني إشعار بغياب ابني خلال نص ساعة من بداية الحصة,الشرقية,أرسل نظام المدرسة تنبيهًا فوريًا لولي الأمر عند رصد غياب الطالب,إبلاغ إيجابي,مدح حقيقي للنظام,مدح,رضا,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,السرعة المذكورة تجعل التقييم مبنيًا على أداء فعلي وتقابل الحالة السابقة,V2_500
LUB2-V2-0263,المعلمة اتصلت تشرح لي وضع ابنتي الدراسي وتقترح خطة,الشمالية,بادرت المعلمة بالتواصل مع ولية الأمر لمناقشة تراجع مستوى الطالبة واقتراح حلول,مدح,شكر وتقدير حقيقي,مدح,تقدير,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,المبادرة بالتواصل واقتراح الحلول سلوك مهني محدد يبرر الثناء,V2_500
LUB2-V2-0264,أنا أرسلت ثلاث رسائل للمدرسة وما جاني رد,الجنوبية,راسل ولي الأمر إدارة المدرسة ثلاث مرات بخصوص مشكلة ابنه دون أي استجابة,وصف للوضع,شكوى من انعدام التواصل,شكوى,إحباط,4,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,مرتفع,تجاهل ثلاث رسائل يوثق خللًا في التواصل ويبرر ارتفاع احتمال التصعيد,V2_500
LUB2-V2-0265,يعطيكم العافية على الاجتماع، حددتوه في وقت الدوام لكل الأهالي,الحجازية,حددت المدرسة اجتماع أولياء الأمور في منتصف يوم عمل رسمي,شكر,تهكم على سوء اختيار التوقيت,سخرية,انزعاج,3,نعم,3,إيجابي,سلبي,غير مرتبط,نعم,نعم,متوسط,الشكر الظاهر يليه وصف يكشف عدم مراعاة ظروف أولياء الأمور فينقلب لتهكم,V2_500
